Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:50:02:38.216,61,0.543956682,0.2819962,0.120839725,0.311577447,0.843909472,0.098315667,0.404398963,0.393787578,0.543956682,0.2819962,0.120839725,0.311577447,0.843909472,0.404398963,0.393787578
02:50:02:39.218,61,0.543608536,0.28156509,0.120828441,0.311287714,0.843783091,0.098349422,0.403912425,0.393255132,0.543608536,0.28156509,0.120828441,0.311287714,0.843783091,0.403912425,0.393255132
02:50:02:40.220,61,0.549598381,0.285769314,0.119775875,0.308910782,0.842908412,0.09936433,0.403098464,0.390251233,0.549598381,0.285769314,0.119775875,0.308910782,0.842908412,0.403098464,0.390251233
02:50:02:41.221,61,0.550943901,0.289226318,0.120011393,0.308920972,0.842692723,0.099893825,0.403870262,0.392359499,0.550943901,0.289226318,0.120011393,0.308920972,0.842692723,0.403870262,0.392359499
02:50:02:42.223,61,0.552002072,0.293744087,0.119646594,0.307257888,0.842674832,0.100290856,0.402628951,0.391326586,0.552002072,0.293744087,0.119646594,0.307257888,0.842674832,0.402628951,0.391326586
02:50:02:43.225,61,0.551827808,0.293361664,0.120341395,0.309900922,0.842817148,0.100197316,0.40365422,0.399225146,0.551827808,0.293361664,0.120341395,0.309900922,0.842817148,0.40365422,0.399225146
02:50:02:44.226,61,0.553998694,0.300025073,0.119223144,0.296627832,0.843093683,0.100340328,0.400122345,0.395354922,0.553998694,0.300025073,0.119223144,0.296627832,0.843093683,0.400122345,0.395354922
02:50:02:45.228,61,0.554557671,0.30435736,0.118717267,0.295961089,0.843098362,0.10039763,0.398750494,0.392698566,0.554557671,0.30435736,0.118717267,0.295961089,0.843098362,0.398750494,0.392698566
02:50:02:46.229,61,0.555420895,0.310002444,0.11813563,0.295217258,0.843144019,0.100671866,0.396061249,0.390894686,0.555420895,0.310002444,0.11813563,0.295217258,0.843144019,0.396061249,0.390894686
02:50:02:47.231,61,0.555540721,0.31666291,0.117438182,0.292721413,0.843171209,0.101450979,0.392453539,0.389849837,0.555540721,0.31666291,0.117438182,0.292721413,0.843171209,0.392453539,0.389849837
02:50:02:48.232,61,0.553958024,0.324581996,0.11723186,0.287012917,0.842957705,0.102635431,0.3867869,0.391241511,0.553958024,0.324581996,0.11723186,0.287012917,0.842957705,0.3867869,0.391241511
02:50:02:49.234,61,0.554080233,0.32442492,0.117214154,0.287016573,0.843112101,0.102703967,0.386880907,0.391446002,0.554080233,0.32442492,0.117214154,0.287016573,0.843112101,0.386880907,0.391446002
02:50:02:50.236,61,0.55827711,0.343336495,0.117005484,0.280085089,0.845413238,0.104070127,0.381343794,0.394346602,0.55827711,0.343336495,0.117005484,0.280085089,0.845413238,0.381343794,0.394346602
02:50:02:51.237,61,0.563584656,0.356472991,0.110860707,0.271896683,0.851283699,0.100889655,0.371790337,0.381191168,0.563584656,0.356472991,0.110860707,0.271896683,0.851283699,0.371790337,0.381191168
02:50:02:52.239,61,0.564800074,0.353654534,0.109456888,0.271688059,0.852800608,0.099729509,0.37092115,0.372946822,0.564800074,0.353654534,0.109456888,0.271688059,0.852800608,0.37092115,0.372946822
02:50:02:53.240,61,0.564265152,0.349317046,0.108129038,0.271522713,0.850503554,0.104454321,0.36983182,0.368614618,0.564265152,0.349317046,0.108129038,0.271522713,0.850503554,0.36983182,0.368614618
02:50:02:54.242,61,0.56256024,0.345398689,0.107429627,0.271293965,0.85121276,0.106211965,0.374194279,0.366624786,0.56256024,0.345398689,0.107429627,0.271293965,0.85121276,0.374194279,0.366624786
02:50:02:55.243,61,0.561737696,0.345164227,0.107351276,0.271246793,0.850939731,0.108092737,0.374802875,0.366303239,0.561737696,0.345164227,0.107351276,0.271246793,0.850939731,0.374802875,0.366303239
02:50:02:56.245,61,0.561125467,0.343954635,0.107001688,0.271077139,0.851875295,0.108504406,0.378316015,0.367289973,0.561125467,0.343954635,0.107001688,0.271077139,0.851875295,0.378316015,0.367289973
